Main Holding Name,Main Holding Key,Holding Name,Holding Key,International Sector Key,International Sector Description,International Department Key,International Department Description,Group Class Key - Description,Class Key - Description,Brand Name
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1552 - GATEAUX/PASTRIES/ICED DESSERT,SMARTIES ICE CREAMS
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,VENITIA
FRONERI,1102,FRONERI,1102,1,FMCG,15,CHILLED (SELF-SERVICE),155 - ICE CREAM/FROZEN DESSERTS,1551 - SNACKING ICE,DISNEY
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,NARTA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,CADUM
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,USHUAIA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,USHUAIA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,DOP
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1214 - BODY CARE,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,DOP
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,JACQUES DESSANGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1212 - SOAPS,SAVON LE NATUREL
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1203 - LOTIONS/CARE PRODUCTS,JACQUES DESSANGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,BIEN ETRE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1211 - SHOWER PRODUCTS,DOP
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1230 - WOMEN FACIAL CARE,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1250 - BABY CLEANSING/CARE  PRODUCTS,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,124 - SHAVING PRODUCTS,1243 - SHAVING FOAMS/CREAMS/GELS,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1250 - BABY CLEANSING/CARE  PRODUCTS,CADUM
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,124 - SHAVING PRODUCTS,1244 - AFTER-SHAVE,MENNEN
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,123 - FACIAL CARE/MAKEUP,1231 - MAKEUP REMOVERS,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1215 - HAND/FOOT CARE,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1200 - SHAMPOOS,FRANCK PROVOST
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1210 - BATH PRODUCTS,USHUAIA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1201 - HAIR CONDITIONERS,JACQUES DESSANGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,CADUM
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1213 - DEODORANTS,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,120 - HAIR CARE PRODUCTS,1204 - HAIRDRESSING PRODUCTS,JACQUES DESSANGE
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,125 - BABY PRODUCTS,1251 - BABY WIPES,MIXA
LASCAD,466,LASCAD,466,1,FMCG,12,TOILETRIES,121 - PERSONAL HYGIENE/GROOMING,1216 - EAU DE COLOGNE/EAU DE TOILLETTE,EAU JEUNE
